"question","answer","status","citations"
"A&A-06.1","The provided context does not contain enough information to answer question A&A-06.1.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"""
"documented","All changes to production infrastructure must be documented","approved","Application_Security_and_Vulnerability_Management.md: ""## 3. Change Management
All changes to production infrastructure must be documented, approved by the Change Advisory Board (CAB) for high-risk changes, and include a documented rollback plan in case o"" | Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"""
"a risk-based corrective action plan to remediate audit findings","The provided context does not contain enough information to create a risk-based corrective action plan to remediate audit findings. However, the Incident Response Plan (IRP) outlines a structured approach to responding to incidents, which includes phases such as Preparation, Identification, Containment, Eradication, Recovery, and Lessons Learned. A risk-based corrective action plan could be developed based on the Lessons Learned phase, which involves conducting a post-mortem within 14 days of incident closure to improve future response.","approved","Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"report remediation status to relevant stakeholders.","The provided context does not explicitly mention reporting remediation status to relevant stakeholders. However, it does outline the SLA for remediation, which implies that some form of tracking and potentially reporting is necessary to ensure compliance with these timelines.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"" | Incident_Response_Plan.md: ""## 2. Incident Response Phases
1.  **Preparation:** Maintaining tooling (SIEM, EDR), staff training, and this living document.
2.  **Identification:** Triaging alerts from monitoring tools. Any employ"""
"A&A-06.2","The provided context does not contain enough information to answer question A&A-06.2.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"""
"stakeholders?","The context does not explicitly mention stakeholders, but based on the information provided, stakeholders could include employees, contractors, and customers, as they are all impacted by the access control and human resources security policies.","approved","information_security_policy.md: ""## 1. Access Control
Access to StrataFlow Enterprise systems and customer data is strictly governed by Role-Based Access Control (RBAC). All employee access requires authentication via our centralized"" | Information_Security_Policy.md: ""## 4. Human Resources Security
* **Background Checks:** All employees and contractors must undergo standard criminal background checks prior to employment.
* **Security Training:** All personnel must """
"AIS-02.1","The provided context does not contain enough information to answer the question AIS-02.1.","approved","Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"" | Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"""
"and maintained?","The provided context does not contain enough information to answer how something is maintained. The context only discusses vulnerability management and backup processes.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"" | Business_Continuity_and_Disaster_Recovery.md: ""## 3. Backups
* **Frequency:** Full database backups are taken daily. Incremental backups are taken hourly.
* **Storage:** Backups are stored in an isolated, immutable storage bucket in a geographical"""
"applications.","The provided context does not contain enough information about applications.","approved","Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"" | information_security_policy.md: ""## 3. Endpoint Management
All company-issued workstations (laptops and desktops) are managed via Mobile Device Management (MDM) solutions (Jamf for macOS, Microsoft Intune for Windows). 
* Full disk e"""
"AIS-04.1","The provided context does not contain enough information to answer the question AIS-04.1.","approved","Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"planning","The planning process for changes to production infrastructure involves documentation, approval by the Change Advisory Board (CAB) for high-risk changes, and a documented rollback plan in case of deployment failure.","approved","Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"" | Application_Security_and_Vulnerability_Management.md: ""## 3. Change Management
All changes to production infrastructure must be documented, approved by the Change Advisory Board (CAB) for high-risk changes, and include a documented rollback plan in case o"""
"designed security requirements?","The provided context chunks outline several designed security requirements, including: (1) Secure Software Development Life Cycle (SDLC) practices such as code review, automated Static Application Security Testing (SAST), and Software Composition Analysis (SCA), as well as logically separated Development, Staging, and Production environments with anonymized/sanitized production data in non-production environments; (2) Password complexity rules for legacy systems and service accounts, including minimum length, character variety, expiration, and reuse restrictions.","approved","Application_Security_and_Vulnerability_Management.md: ""## 1. Secure Software Development Life Cycle (SDLC)
* **Code Review:** All code changes must undergo a peer review by at least one other engineer before being merged into the main branch.
* **Testing:"" | information_security_policy.md: ""## 2. Password Requirements
For legacy systems that do not yet support SSO, or for service accounts, the following password complexity rules are enforced systematically:
* Minimum length of 14 charact"""
"testing","Automated Static Application Security Testing (SAST) and Software Composition Analysis (SCA) are integrated into our CI/CD pipeline. Builds will fail if critical vulnerabilities are detected.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"AIS-06.1","The provided context does not contain enough information to answer the question AIS-06.1.","approved","Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"code in a secure","Code is reviewed securely through peer review by at least one other engineer before being merged into the main branch, and automated Static Application Security Testing (SAST) and Software Composition Analysis (SCA) are integrated into the CI/CD pipeline to detect vulnerabilities.","approved","Application_Security_and_Vulnerability_Management.md: ""## 1. Secure Software Development Life Cycle (SDLC)
* **Code Review:** All code changes must undergo a peer review by at least one other engineer before being merged into the main branch.
* **Testing:"" | Information_Security_Policy.md: ""## 3. Data Security and Encryption
* **Data at Rest:** All customer data stored in ApexCloud databases is encrypted using AES-256 encryption.
* **Data in Transit:** All data transmitted over public ne"""
"and compliant application deployment. Automate where possible.","The organization has implemented various measures to ensure secure and compliant application deployment. This includes peer review of all code changes, automated Static Application Security Testing (SAST) and Software Composition Analysis (SCA) integrated into the CI/CD pipeline, and logically separated Development, Staging, and Production environments. Additionally, automated infrastructure and application vulnerability scans are conducted weekly, and a certified third-party security firm conducts an independent penetration test at least annually. These measures help automate security testing and vulnerability management where possible.","approved","Application_Security_and_Vulnerability_Management.md: ""## 1. Secure Software Development Life Cycle (SDLC)
* **Code Review:** All code changes must undergo a peer review by at least one other engineer before being merged into the main branch.
* **Testing:"""
"AIS-06.2","The provided context does not contain enough information to answer the question AIS-06.2.","approved","Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"" | Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"""
"AIS-07.1","The provided context does not contain enough information to answer the question AIS-07.1.","approved","Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"vulnerabilities","The organization conducts weekly vulnerability scans and annual penetration tests. The remediation SLA is as follows: Critical vulnerabilities are patched within 24 hours, High within 7 days, Medium within 30 days, and Low are evaluated and scheduled for the upcoming sprint.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"AIS-07.2","The provided context does not contain enough information to answer the question AIS-07.2.","approved","Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"" | Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"""
"possible?","The provided context does not contain enough information to determine what is possible. It discusses business continuity and disaster recovery plans, including the ability of employees to work remotely and recovery objectives, but does not specify what is being asked about.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 4. Continuity of Operations
In the event of a localized facility disaster (e.g., corporate office outage), all ApexCloud employees are equipped and authorized to work securely from remote locations"""
"AIS-08.1","The provided context does not contain enough information to answer the question AIS-08.1.","approved","Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"for any improvements at least annually or upon significant changes.","A certified third-party security firm conducts an independent penetration test at least annually.","approved","Application_Security_and_Vulnerability_Management.md: ""## 3. Change Management
All changes to production infrastructure must be documented, approved by the Change Advisory Board (CAB) for high-risk changes, and include a documented rollback plan in case o"""
"AIS-08.2","The provided context does not contain enough information to answer the question AIS-08.2.","approved","Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"" | Application_Security_and_Vulnerability_Management.md: ""# ApexCloud Solutions: AppSec & TVM Policy
**Document Version:** 2.2
**Last Updated:** March 01, 2026
**Confidentiality Level:** Internal / Under NDA"""
"BCR-01.1","The provided context does not contain enough information to answer the question BCR-01.1.","approved","Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"procedures established","Procedures for detecting, analyzing, responding to, and recovering from cybersecurity incidents are established in the Incident Response Plan. Additionally, procedures for change management, including documentation, approval, and rollback planning, are established in the Application Security and Vulnerability Management document.","approved","Incident_Response_Plan.md: ""## 1. Scope
This document defines the process for detecting, analyzing, responding to, and recovering from cybersecurity incidents affecting ApexCloud systems."" | Application_Security_and_Vulnerability_Management.md: ""## 3. Change Management
All changes to production infrastructure must be documented, approved by the Change Advisory Board (CAB) for high-risk changes, and include a documented rollback plan in case o"""
"and maintained?","The provided context does not contain enough information to answer how something is maintained. The context only discusses vulnerability management and backup procedures, but does not provide information on maintenance.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"" | Business_Continuity_and_Disaster_Recovery.md: ""## 3. Backups
* **Frequency:** Full database backups are taken daily. Incremental backups are taken hourly.
* **Storage:** Backups are stored in an isolated, immutable storage bucket in a geographical"""
"business continuity management and operational resilience policies and procedures.","ApexCloud has a business continuity management policy in place, which includes procedures for maintaining customer support and operational uptime in the event of a localized facility disaster. All employees are equipped and authorized to work securely from remote locations to ensure continuity of operations.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 4. Continuity of Operations
In the event of a localized facility disaster (e.g., corporate office outage), all ApexCloud employees are equipped and authorized to work securely from remote locations"""
"Review and update the policies and procedures at least annually","The provided context does not contain enough information to confirm if the policies and procedures are reviewed and updated at least annually. However, it does mention the effective date and version of the StrataFlow Enterprise: Information Security Policy and the document version and last updated date of the ApexCloud Solutions: Information Security Policy (ISP).","approved","information_security_policy.md: ""# StrataFlow Enterprise: Information Security Policy
**Effective Date:** January 1, 2026
**Version:** 3.2"" | Information_Security_Policy.md: ""# ApexCloud Solutions: Information Security Policy (ISP)
**Document Version:** 2.1
**Last Updated:** January 15, 2026
**Confidentiality Level:** Internal / Under NDA"""
"BCR-01.2","The provided context does not contain enough information to answer question BCR-01.2.","approved","Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"BCR-02.1","The provided context does not contain enough information to answer the question BCR-02.1. The context only includes metadata about the documents, such as version numbers and last updated dates, but does not provide any specific details about the BCR-02.1 question.","approved","Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"strategies and capabilities established based on business disruption and risk","The organization has established strategies and capabilities to address business disruption and risk, including vulnerability management and business continuity plans. Specifically, the organization conducts weekly vulnerability scans and annual penetration testing to identify and remediate vulnerabilities. Additionally, the organization has a Service Level Agreement (SLA) for remediation, which includes patching critical vulnerabilities within 24 hours, high vulnerabilities within 7 days, medium vulnerabilities within 30 days, and evaluating and scheduling low vulnerabilities for upcoming sprints. Furthermore, the organization has a business continuity plan in place, which enables employees to work securely from remote locations in the event of a localized facility disaster, maintaining customer support and operational uptime.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"" | Business_Continuity_and_Disaster_Recovery.md: ""## 4. Continuity of Operations
In the event of a localized facility disaster (e.g., corporate office outage), all ApexCloud employees are equipped and authorized to work securely from remote locations"""
"impacts?","The context does not provide enough information about specific impacts. However, based on the Incident Response Phases and Vulnerability Management sections, potential impacts could include system downtime, data breaches, or compromised credentials, which are mitigated through containment, eradication, and recovery phases, as well as vulnerability scanning and remediation.","approved","Incident_Response_Plan.md: ""## 2. Incident Response Phases
1.  **Preparation:** Maintaining tooling (SIEM, EDR), staff training, and this living document.
2.  **Identification:** Triaging alerts from monitoring tools. Any employ"" | Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"criteria for developing business continuity and operational resilience strategies","The criteria for developing business continuity and operational resilience strategies at ApexCloud include maintaining customer support and operational uptime in the event of a localized facility disaster, such as a corporate office outage, by equipping and authorizing employees to work securely from remote locations.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 4. Continuity of Operations
In the event of a localized facility disaster (e.g., corporate office outage), all ApexCloud employees are equipped and authorized to work securely from remote locations"" | Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"and capabilities. Review and update the risk assessment and impact analysis at least annually or upon significant changes.","The provided context does not contain information about reviewing and updating risk assessments and impact analyses. However, it does mention that a certified third-party security firm conducts an independent penetration test at least annually, and all changes to production infrastructure must be documented and approved by the Change Advisory Board (CAB) for high-risk changes.","approved","Application_Security_and_Vulnerability_Management.md: ""## 2. Vulnerability Management
* **Scanning:** Infrastructure and application vulnerability scans are conducted weekly using automated tooling.
* **Penetration Testing:** A certified third-party secur"""
"BCR-02.2","The provided context does not contain enough information to answer question BCR-02.2.","approved","Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"or upon significant changes?","The context does not explicitly state when notifications are made upon significant changes, only that internal notification to CSIRT occurs immediately upon confirmation of a high-severity incident and external notification to customers occurs within 48 hours of verification of a data breach.","approved","Application_Security_and_Vulnerability_Management.md: ""## 3. Change Management
All changes to production infrastructure must be documented, approved by the Change Advisory Board (CAB) for high-risk changes, and include a documented rollback plan in case o"" | Incident_Response_Plan.md: ""## 3. Notification and Communication
* **Internal:** The Computer Security Incident Response Team (CSIRT) is notified immediately upon confirmation of a high-severity incident.
* **External/Customers:"""
"BCR-03.1","The provided context does not contain enough information to answer the question BCR-03.1.","approved","Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"are resiliency and recovery from business disruptions being improved?","Yes, resiliency and recovery from business disruptions are being improved. The company has implemented measures to ensure continuity of operations in the event of a disaster, such as authorizing employees to work remotely and maintaining a Recovery Time Objective (RTO) of 4 hours and a Recovery Point Objective (RPO) of 1 hour.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 4. Continuity of Operations
In the event of a localized facility disaster (e.g., corporate office outage), all ApexCloud employees are equipped and authorized to work securely from remote locations"""
"recovery from business disruptions.","The organization has established recovery objectives, including a Recovery Time Objective (RTO) of 4 hours and a Recovery Point Objective (RPO) of 1 hour, to ensure timely recovery from business disruptions. Additionally, the organization has a plan in place for continuity of operations, which includes remote work capabilities for employees in the event of a localized facility disaster, to maintain customer support and operational uptime.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 2. Recovery Objectives
* **Recovery Time Objective (RTO):** 4 hours. (The maximum acceptable time the application can be offline).
* **Recovery Point Objective (RPO):** 1 hour. (The maximum accepta"""
"BCR-08.1","The provided context does not contain enough information to answer the question BCR-08.1.","approved","Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"integrity and availability of the backup","The integrity and availability of the backup are ensured through the implementation of daily full database backups, hourly incremental backups, and storage in an isolated, immutable storage bucket in a geographically distinct region. Additionally, backups are retained for 30 days and disaster recovery failover and backup restoration are tested bi-annually, which further supports the integrity and availability of the backups.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 3. Backups
* **Frequency:** Full database backups are taken daily. Incremental backups are taken hourly.
* **Storage:** Backups are stored in an isolated, immutable storage bucket in a geographical"" | data_management_policy.md: ""## 3. Data Backups and Retention
* Full database backups are performed daily and stored in an isolated, logically separated AWS account.
* Backups are retained for exactly 30 days before being automat"""
"for resiliency.","ApexCloud maintains resiliency through a combination of employee remote work capabilities in the event of localized facility disasters and a highly available cloud infrastructure with automated failover to a secondary region.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 4. Continuity of Operations
In the event of a localized facility disaster (e.g., corporate office outage), all ApexCloud employees are equipped and authorized to work securely from remote locations"""
"BCR-08.2","The provided context does not contain enough information to answer the question BCR-08.2.","approved","Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"BCR-08.3","The provided context does not contain enough information to answer question BCR-08.3.","approved","Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"BCR-09.1","The provided context does not contain enough information to answer the question BCR-09.1.","approved","Business_Continuity_and_Disaster_Recovery.md: ""# ApexCloud Solutions: BCDR Policy
**Document Version:** 3.0
**Last Updated:** February 02, 2026
**Confidentiality Level:** Internal / Under NDA"" | Incident_Response_Plan.md: ""# ApexCloud Solutions: Incident Response Plan (IRP)
**Document Version:** 1.5
**Last Updated:** November 10, 2025
**Confidentiality Level:** Internal / Under NDA"""
"and maintained to ensure recovery from natural and man-made disasters?","ApexCloud has a business continuity and disaster recovery plan in place, which includes the ability for employees to work securely from remote locations in the event of a localized facility disaster. Additionally, the incident response plan outlines phases for preparation, identification, containment, eradication, recovery, and lessons learned to ensure recovery from disasters.","approved","Business_Continuity_and_Disaster_Recovery.md: ""## 4. Continuity of Operations
In the event of a localized facility disaster (e.g., corporate office outage), all ApexCloud employees are equipped and authorized to work securely from remote locations"" | Incident_Response_Plan.md: ""## 2. Incident Response Phases
1.  **Preparation:** Maintaining tooling (SIEM, EDR), staff training, and this living document.
2.  **Identification:** Triaging alerts from monitoring tools. Any employ"""
